Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2018,Deceased Donor,All Donor Ages,"29,681",378,"1,039",164,"3,467",443,272,34,380,"2,177",766,59,"1,139",498,244,195,326,506,16,672,787,818,504,183,778,261,40,5,373,62,"1,920",998,21,"1,343",271,270,"1,833",117,42,326,45,907,"2,591",343,10,761,681,54,562
2018,Deceased Donor,< 1 Year,223,3,2,0,36,3,0,1,13,23,12,0,3,0,2,0,2,0,0,4,2,3,4,2,4,12,0,0,0,0,12,5,0,6,0,1,6,0,0,1,0,3,26,11,0,5,13,0,3
2018,Deceased Donor,1-5 Years,623,6,24,3,94,9,1,1,18,38,22,0,27,20,7,1,6,2,0,5,7,16,7,6,24,17,0,0,3,0,33,28,0,18,2,4,33,1,1,3,0,12,75,13,0,15,12,0,9
2018,Deceased Donor,6-10 Years,344,8,10,1,31,6,1,0,13,31,14,4,6,5,0,2,8,4,0,7,4,9,10,1,14,1,0,0,7,0,35,4,0,10,4,1,29,0,0,6,1,6,35,3,0,4,4,0,5
2018,Deceased Donor,11-17 Years,"1,766",24,48,22,169,44,9,1,27,120,57,0,74,33,12,24,21,25,0,24,31,62,38,13,52,13,4,1,11,6,86,57,0,95,18,17,82,10,1,14,1,66,192,26,0,44,67,0,25
2018,Deceased Donor,18-34 Years,"11,271",160,374,70,"1,225",206,79,15,147,804,281,19,409,220,79,74,152,218,7,307,277,318,205,70,311,87,17,3,116,19,620,405,6,522,120,109,678,54,15,138,21,397,993,143,3,293,255,11,219
2018,Deceased Donor,35-49 Years,"8,411",100,269,44,996,109,90,9,78,561,209,25,293,147,65,54,90,123,4,170,257,238,120,51,213,68,16,0,136,23,570,295,10,395,69,88,588,22,6,95,9,268,756,93,2,222,197,17,151
2018,Deceased Donor,50-64 Years,"5,973",71,265,24,787,65,81,6,63,486,136,9,286,65,68,32,44,106,5,134,172,155,88,35,132,52,3,1,92,13,473,160,4,263,53,46,362,30,19,62,11,131,429,45,5,147,122,21,114
2018,Deceased Donor,65 +,"1,070",6,47,0,129,1,11,1,21,114,35,2,41,8,11,8,3,28,0,21,37,17,32,5,28,11,0,0,8,1,91,44,1,34,5,4,55,0,0,7,2,24,85,9,0,31,11,5,36
2018,Living Donor,All Donor Ages,"6,849",89,145,8,698,174,98,5,145,294,217,7,285,93,39,43,55,80,26,158,228,221,309,4,113,40,7,15,187,10,704,147,20,298,45,68,408,5,21,42,17,119,640,98,1,155,100,12,156
2018,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Living Donor,18-34 Years,"1,842",34,31,6,185,62,22,1,37,77,67,0,92,33,13,15,10,21,4,46,46,53,63,2,30,11,4,3,53,4,191,40,6,63,10,14,121,0,5,6,6,41,180,31,0,45,22,3,33
2018,Living Donor,35-49 Years,"2,724",36,66,0,250,68,33,4,51,125,92,4,113,41,14,16,32,35,11,52,89,82,115,0,48,16,2,3,58,3,277,57,7,132,21,30,169,4,4,23,4,49,278,49,1,55,43,5,57
2018,Living Donor,50-64 Years,"1,950",11,42,2,218,41,31,0,46,78,53,3,73,17,11,11,11,23,6,51,81,78,110,1,26,10,1,8,65,3,197,41,7,88,13,19,101,1,12,12,6,26,161,18,0,48,31,2,56
2018,Living Donor,65 +,331,8,6,0,45,3,12,0,11,14,5,0,7,2,1,1,2,1,5,9,12,8,21,1,9,3,0,1,11,0,37,9,0,15,1,5,17,0,0,1,1,3,21,0,0,7,4,2,10
2018,Living Donor,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,All Donor Types,All Donor Ages,"34,770",501,"1,100",127,"3,860",580,285,43,516,"2,184",839,63,"1,273",586,258,225,378,622,52,845,"1,018",939,881,178,912,338,64,16,582,88,"2,238","1,096",47,"1,524",340,336,"2,198",106,49,408,69,965,"3,260",436,21,839,699,28,758
2017,All Donor Types,< 1 Year,248,2,4,2,30,3,0,1,15,23,14,0,9,0,1,0,2,0,0,4,0,5,2,4,9,7,0,0,2,0,21,9,0,12,0,0,10,0,0,4,0,7,26,4,0,8,3,0,5
2017,All Donor Types,1-5 Years,555,9,15,0,66,8,1,2,20,30,17,0,16,8,9,3,9,7,0,7,7,14,6,1,10,21,0,0,5,0,37,10,0,16,2,4,38,1,0,1,0,19,88,15,0,7,14,0,12
2017,All Donor Types,6-10 Years,355,4,14,1,41,3,1,1,13,23,4,0,10,6,1,2,2,2,0,4,11,3,2,3,18,4,0,0,2,2,18,17,0,11,2,10,23,1,1,1,0,14,49,11,0,4,5,0,11
2017,All Donor Types,11-17 Years,"1,820",31,55,8,176,33,5,0,16,118,46,2,84,33,17,15,26,39,2,21,30,48,44,13,71,28,6,0,18,4,85,74,1,74,18,13,96,6,0,36,5,55,195,43,1,41,33,0,55
2017,All Donor Types,18-34 Years,"12,953",204,372,47,"1,372",219,95,22,188,690,334,23,451,263,62,90,175,250,13,335,363,337,318,59,371,119,18,3,197,44,742,428,11,569,145,146,873,35,14,168,18,418,"1,309",132,9,338,290,12,262
2017,All Donor Types,35-49 Years,"10,148",161,285,54,"1,158",179,74,12,123,633,261,25,372,169,80,57,111,166,11,253,321,277,274,54,233,91,18,7,189,20,652,284,16,464,112,105,673,26,22,113,24,283,948,153,6,216,191,8,184
2017,All Donor Types,50-64 Years,"7,582",78,296,15,872,125,89,5,111,589,145,11,295,100,82,51,51,140,22,176,233,238,191,37,168,63,22,6,153,17,588,251,18,333,51,49,417,35,10,82,21,150,567,64,5,195,154,8,203
2017,All Donor Types,65 +,"1,108",12,59,0,145,10,20,0,29,78,18,2,36,7,6,7,2,18,4,45,53,17,44,7,32,5,0,0,16,1,95,23,1,45,10,9,68,2,2,3,1,19,78,14,0,30,9,0,26
2017,All Donor Types,Unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Deceased Donor,All Donor Ages,"28,588",404,979,123,"3,199",409,184,28,395,"1,945",677,59,"1,014",492,222,199,333,529,24,710,813,743,607,171,803,284,57,1,393,75,"1,690",957,30,"1,249",297,269,"1,799",99,40,372,49,838,"2,766",333,17,677,607,24,603
2017,Deceased Donor,< 1 Year,248,2,4,2,30,3,0,1,15,23,14,0,9,0,1,0,2,0,0,4,0,5,2,4,9,7,0,0,2,0,21,9,0,12,0,0,10,0,0,4,0,7,26,4,0,8,3,0,5
2017,Deceased Donor,1-5 Years,555,9,15,0,66,8,1,2,20,30,17,0,16,8,9,3,9,7,0,7,7,14,6,1,10,21,0,0,5,0,37,10,0,16,2,4,38,1,0,1,0,19,88,15,0,7,14,0,12
2017,Deceased Donor,6-10 Years,355,4,14,1,41,3,1,1,13,23,4,0,10,6,1,2,2,2,0,4,11,3,2,3,18,4,0,0,2,2,18,17,0,11,2,10,23,1,1,1,0,14,49,11,0,4,5,0,11
2017,Deceased Donor,11-17 Years,"1,818",31,55,8,176,33,5,0,16,118,46,2,84,33,17,15,26,39,2,21,30,48,44,13,71,28,6,0,18,4,85,74,1,74,18,13,95,6,0,35,5,55,195,43,1,41,33,0,55
2017,Deceased Donor,18-34 Years,"11,213",168,331,47,"1,171",157,72,14,153,638,291,22,370,242,54,82,164,228,9,299,314,274,252,56,345,108,16,0,142,40,592,393,5,502,134,129,753,33,13,162,12,375,"1,150",102,7,291,271,10,220
2017,Deceased Donor,35-49 Years,"7,735",123,242,51,897,113,45,7,76,537,189,24,261,130,65,43,88,129,6,209,233,211,162,53,189,63,14,1,121,17,450,232,12,350,99,82,501,24,19,99,18,232,756,109,5,150,161,6,131
2017,Deceased Donor,50-64 Years,"5,798",59,264,14,696,84,47,3,79,505,102,9,235,69,69,47,41,108,7,130,169,180,115,34,134,50,21,0,97,12,418,203,12,248,33,26,325,32,6,68,13,124,442,39,4,153,114,8,150
2017,Deceased Donor,65 +,866,8,54,0,122,8,13,0,23,71,14,2,29,4,6,7,1,16,0,36,49,8,24,7,27,3,0,0,6,0,69,19,0,36,9,5,54,2,1,2,1,12,60,10,0,23,6,0,19
2017,Living Donor,All Donor Ages,"6,182",97,121,4,661,171,101,15,121,239,162,4,259,94,36,26,45,93,28,135,205,196,274,7,109,54,7,15,189,13,548,139,17,275,43,67,399,7,9,36,20,127,494,103,4,162,92,4,155
2017,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Living Donor,11-17 Years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2017,Living Donor,18-34 Years,"1,740",36,41,0,201,62,23,8,35,52,43,1,81,21,8,8,11,22,4,36,49,63,66,3,26,11,2,3,55,4,150,35,6,67,11,17,120,2,1,6,6,43,159,30,2,47,19,2,42
2017,Living Donor,35-49 Years,"2,413",38,43,3,261,66,29,5,47,96,72,1,111,39,15,14,23,37,5,44,88,66,112,1,44,28,4,6,68,3,202,52,4,114,13,23,172,2,3,14,6,51,192,44,1,66,30,2,53
2017,Living Donor,50-64 Years,"1,784",19,32,1,176,41,42,2,32,84,43,2,60,31,13,4,10,32,15,46,64,58,76,3,34,13,1,6,56,5,170,48,6,85,18,23,92,3,4,14,8,26,125,25,1,42,40,0,53
2017,Living Donor,65 +,242,4,5,0,23,2,7,0,6,7,4,0,7,3,0,0,1,2,4,9,4,9,20,0,5,2,0,0,10,1,26,4,1,9,1,4,14,0,1,1,0,7,18,4,0,7,3,0,7
2017,Living Donor,Unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,All Donor Types,All Donor Ages,"33,610",413,"1,089",161,"3,867",461,286,39,527,"2,157",922,67,"1,208",616,239,236,333,578,36,855,"1,010","1,000",894,204,800,293,63,42,600,86,"2,148","1,044",46,"1,361",325,353,"2,080",141,61,287,47,908,"3,130",385,24,701,648,36,803
2016,All Donor Types,< 1 Year,280,2,7,2,32,7,0,1,23,32,17,0,4,1,2,1,0,0,0,0,12,8,3,1,9,17,0,0,0,0,14,11,0,13,0,1,9,0,0,0,0,4,29,9,0,1,2,0,6
2016,All Donor Types,1-5 Years,611,6,15,4,93,6,3,3,16,48,20,0,14,16,5,2,0,7,0,6,8,14,8,9,19,14,0,0,4,0,38,17,0,14,4,3,28,0,0,10,0,13,77,17,0,13,16,0,21
2016,All Donor Types,6-10 Years,431,0,13,1,31,5,1,1,9,23,19,1,10,5,5,3,4,12,1,9,9,14,8,0,18,11,0,0,4,0,36,17,0,21,3,0,28,0,0,5,0,16,47,10,0,7,8,0,16
2016,All Donor Types,11-17 Years,"1,790",24,40,12,187,26,10,1,36,140,55,2,79,39,20,9,11,22,1,22,26,74,46,6,55,11,7,0,20,6,91,66,6,72,33,24,107,16,1,19,2,51,167,27,1,28,48,0,44
2016,All Donor Types,18-34 Years,"12,601",139,375,83,"1,367",202,90,16,190,778,300,29,479,257,88,97,156,232,6,346,358,333,324,71,294,113,22,14,223,32,759,374,16,544,142,148,820,44,19,116,18,355,"1,225",144,11,286,278,9,279
2016,All Donor Types,35-49 Years,"9,649",112,311,47,"1,144",141,76,9,126,556,312,21,336,181,57,60,100,162,18,257,316,305,247,46,244,70,20,19,170,19,587,285,13,395,89,103,629,42,14,81,13,246,970,94,9,191,172,12,222
2016,All Donor Types,50-64 Years,"7,236",114,276,11,904,70,88,7,104,515,177,14,261,103,50,56,59,121,8,173,240,230,215,58,139,51,14,9,163,29,537,235,10,260,50,63,406,36,25,50,12,186,560,72,3,153,117,11,191
2016,All Donor Types,65 +,"1,011",16,52,1,109,4,18,1,22,65,22,0,25,14,12,8,3,22,2,42,41,22,43,13,22,6,0,0,16,0,86,39,1,42,4,11,53,3,2,6,2,37,55,12,0,22,7,4,24
2016,All Donor Types,Unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Deceased Donor,All Donor Ages,"27,630",338,974,152,"3,197",343,209,29,414,"1,929",747,57,931,521,200,211,294,501,14,716,838,781,590,196,688,261,57,16,413,66,"1,611",925,32,"1,084",289,285,"1,749",132,39,257,34,818,"2,578",314,20,562,543,30,645
2016,Deceased Donor,< 1 Year,280,2,7,2,32,7,0,1,23,32,17,0,4,1,2,1,0,0,0,0,12,8,3,1,9,17,0,0,0,0,14,11,0,13,0,1,9,0,0,0,0,4,29,9,0,1,2,0,6
2016,Deceased Donor,1-5 Years,611,6,15,4,93,6,3,3,16,48,20,0,14,16,5,2,0,7,0,6,8,14,8,9,19,14,0,0,4,0,38,17,0,14,4,3,28,0,0,10,0,13,77,17,0,13,16,0,21
2016,Deceased Donor,6-10 Years,430,0,13,1,31,5,1,1,8,23,19,1,10,5,5,3,4,12,1,9,9,14,8,0,18,11,0,0,4,0,36,17,0,21,3,0,28,0,0,5,0,16,47,10,0,7,8,0,16
2016,Deceased Donor,11-17 Years,"1,789",24,40,12,187,26,10,1,35,140,55,2,79,39,20,9,11,22,1,22,26,74,46,6,55,11,7,0,20,6,91,66,6,72,33,24,107,16,1,19,2,51,167,27,1,28,48,0,44
2016,Deceased Donor,18-34 Years,"10,850",109,338,82,"1,167",165,76,12,156,708,257,26,371,231,78,91,138,207,6,291,329,273,261,66,268,109,21,7,174,26,593,346,14,462,129,131,705,43,15,109,17,329,"1,038",127,10,244,247,7,241
2016,Deceased Donor,35-49 Years,"7,327",84,268,42,891,95,47,3,88,462,228,16,231,139,35,52,88,133,4,219,250,223,136,44,203,54,17,6,99,16,393,239,8,276,78,78,507,37,9,65,7,203,746,66,8,133,141,9,151
2016,Deceased Donor,50-64 Years,"5,524",99,244,8,716,36,60,7,73,457,135,12,203,78,44,45,50,99,2,136,172,161,99,57,98,39,12,3,100,18,380,195,3,189,38,45,317,33,13,45,7,168,427,48,1,117,79,10,146
2016,Deceased Donor,65 +,819,14,49,1,80,3,12,1,15,59,16,0,19,12,11,8,3,21,0,33,32,14,29,13,18,6,0,0,12,0,66,34,1,37,4,3,48,3,1,4,1,34,47,10,0,19,2,4,20
2016,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Living Donor,All Donor Ages,"5,980",75,115,9,670,118,77,10,113,228,175,10,277,95,39,25,39,77,22,139,172,219,304,8,112,32,6,26,187,20,537,119,14,277,36,68,331,9,22,30,13,90,552,71,4,139,105,6,158
2016,Living Donor,6-10 Years,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Living Donor,18-34 Years,"1,751",30,37,1,200,37,14,4,34,70,43,3,108,26,10,6,18,25,0,55,29,60,63,5,26,4,1,7,49,6,166,28,2,82,13,17,115,1,4,7,1,26,187,17,1,42,31,2,38
2016,Living Donor,35-49 Years,"2,322",28,43,5,253,46,29,6,38,94,84,5,105,42,22,8,12,29,14,38,66,82,111,2,41,16,3,13,71,3,194,46,5,119,11,25,122,5,5,16,6,43,224,28,1,58,31,3,71
2016,Living Donor,50-64 Years,"1,712",15,32,3,188,34,28,0,31,58,42,2,58,25,6,11,9,22,6,37,68,69,116,1,41,12,2,6,63,11,157,40,7,71,12,18,89,3,12,5,5,18,133,24,2,36,38,1,45
2016,Living Donor,65 +,192,2,3,0,29,1,6,0,7,6,6,0,6,2,1,0,0,1,2,9,9,8,14,0,4,0,0,0,4,0,20,5,0,5,0,8,5,0,1,2,1,3,8,2,0,3,5,0,4
2016,Living Donor,Unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,All Donor Types,All Donor Ages,"30,974",395,838,127,"3,703",443,234,37,409,"2,047",888,64,979,582,229,223,302,607,44,894,795,924,845,132,734,305,78,51,564,66,"1,930","1,016",51,"1,231",319,311,"1,994",154,46,303,52,857,"2,803",363,16,649,623,25,692
2015,All Donor Types,< 1 Year,286,3,4,3,48,5,0,3,13,22,5,0,5,2,3,5,0,1,0,6,3,5,2,1,7,30,0,0,0,0,16,24,0,10,0,0,10,0,0,2,0,6,22,5,0,5,5,0,5
2015,All Donor Types,1-5 Years,665,3,13,0,91,9,2,2,24,56,29,0,9,9,6,5,4,3,0,9,16,21,11,6,16,19,0,0,8,0,44,24,0,23,2,1,45,1,0,10,1,10,80,19,0,11,12,0,11
2015,All Donor Types,6-10 Years,428,13,8,2,32,11,0,3,11,32,19,0,9,6,2,5,3,10,0,2,2,3,14,1,16,6,0,0,3,1,28,21,0,15,4,4,24,2,0,7,4,20,53,5,0,10,6,0,11
2015,All Donor Types,11-17 Years,"1,599",15,24,9,164,15,6,3,22,81,58,1,47,40,23,3,9,45,0,27,32,49,47,17,46,9,8,2,19,6,85,64,1,66,23,21,90,7,2,23,0,61,210,16,0,26,49,0,28
2015,All Donor Types,18-34 Years,"11,295",153,281,54,"1,315",221,66,9,132,675,291,24,391,293,77,81,149,214,13,322,244,354,283,37,309,99,31,6,165,23,659,372,14,474,118,108,764,64,12,128,16,324,"1,079",137,7,234,249,7,217
2015,All Donor Types,35-49 Years,"8,991",113,264,42,"1,099",101,85,10,99,613,285,32,289,151,53,49,79,180,15,258,275,263,226,33,164,64,32,14,187,24,550,272,26,354,102,103,591,44,20,73,16,260,804,107,3,193,170,8,196
2015,All Donor Types,50-64 Years,"6,702",84,196,15,830,77,68,6,82,471,177,7,205,75,62,72,58,134,11,228,190,210,214,32,150,70,7,26,167,7,450,203,9,268,67,63,403,35,10,58,13,144,502,68,6,140,126,8,198
2015,All Donor Types,65 +,"1,001",11,48,2,124,4,7,1,22,97,24,0,24,6,3,3,0,20,5,42,33,19,48,5,26,8,0,3,15,5,97,36,1,21,3,11,65,1,2,2,2,32,53,6,0,30,6,2,26
2015,All Donor Types,Unknown,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015,Deceased Donor,All Donor Ages,"24,985",318,717,113,"2,955",330,149,30,308,"1,816",699,56,756,497,191,203,264,553,17,699,580,707,553,124,637,269,71,29,397,58,"1,387",884,35,983,278,251,"1,641",148,40,272,40,759,"2,256",287,16,524,530,22,536
2015,Deceased Donor,< 1 Year,286,3,4,3,48,5,0,3,13,22,5,0,5,2,3,5,0,1,0,6,3,5,2,1,7,30,0,0,0,0,16,24,0,10,0,0,10,0,0,2,0,6,22,5,0,5,5,0,5
2015,Deceased Donor,1-5 Years,665,3,13,0,91,9,2,2,24,56,29,0,9,9,6,5,4,3,0,9,16,21,11,6,16,19,0,0,8,0,44,24,0,23,2,1,45,1,0,10,1,10,80,19,0,11,12,0,11
2015,Deceased Donor,6-10 Years,428,13,8,2,32,11,0,3,11,32,19,0,9,6,2,5,3,10,0,2,2,3,14,1,16,6,0,0,3,1,28,21,0,15,4,4,24,2,0,7,4,20,53,5,0,10,6,0,11
2015,Deceased Donor,11-17 Years,"1,597",15,24,9,164,15,6,3,21,81,58,1,47,40,23,3,9,45,0,27,32,49,46,17,46,9,8,2,19,6,85,64,1,66,23,21,90,7,2,23,0,61,210,16,0,26,49,0,28
2015,Deceased Donor,18-34 Years,"9,564",135,241,49,"1,089",184,47,6,104,614,245,20,314,263,66,71,135,191,7,258,189,280,205,35,284,90,28,5,125,19,500,334,9,406,107,90,655,61,11,122,13,292,919,116,7,196,231,7,189
2015,Deceased Donor,35-49 Years,"6,636",77,212,37,806,66,56,8,59,508,187,29,200,113,41,45,65,162,4,188,185,184,134,30,131,47,29,7,125,21,339,221,18,258,85,82,456,41,17,57,11,218,567,82,3,146,137,7,135
2015,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Deceased Donor,50-64 Years,"5,012",68,172,11,632,38,36,4,59,415,139,6,154,59,48,66,48,122,5,175,128,152,110,29,116,60,6,13,109,6,296,162,6,190,55,48,306,35,8,49,9,121,363,39,6,101,89,6,137
2015,Deceased Donor,65 +,797,4,43,2,93,2,2,1,17,88,17,0,18,5,2,3,0,19,1,34,25,13,31,5,21,8,0,2,8,5,79,34,1,15,2,5,55,1,2,2,2,31,42,5,0,29,1,2,20
2015,Living Donor,All Donor Ages,"5,989",77,121,14,748,113,85,7,101,231,189,8,223,85,38,20,38,54,27,195,215,217,292,8,97,36,7,22,167,8,543,132,16,248,41,60,353,6,6,31,12,98,547,76,0,125,93,3,156
2015,Living Donor,11-17 Years,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Living Donor,18-34 Years,"1,731",18,40,5,226,37,19,3,28,61,46,4,77,30,11,10,14,23,6,64,55,74,78,2,25,9,3,1,40,4,159,38,5,68,11,18,109,3,1,6,3,32,160,21,0,38,18,0,28
2015,Living Donor,35-49 Years,"2,355",36,52,5,293,35,29,2,40,105,98,3,89,38,12,4,14,18,11,70,90,79,92,3,33,17,3,7,62,3,211,51,8,96,17,21,135,3,3,16,5,42,237,25,0,47,33,1,61
2015,Living Donor,50-64 Years,"1,690",16,24,4,198,39,32,2,23,56,38,1,51,16,14,6,10,12,6,53,62,58,104,3,34,10,1,13,58,1,154,41,3,78,12,15,97,0,2,9,4,23,139,29,0,39,37,2,61
2015,Living Donor,65 +,204,7,5,0,31,2,5,0,5,9,7,0,6,1,1,0,0,1,4,8,8,6,17,0,5,0,0,1,7,0,18,2,0,6,1,6,10,0,0,0,0,1,11,1,0,1,5,0,6
2015,Living Donor,Unknown,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014,All Donor Types,All Donor Ages,"29,540",401,711,123,"3,454",421,238,43,349,"1,803",818,75,"1,094",609,257,238,298,574,55,805,800,873,746,128,717,326,61,43,470,87,"1,826","1,005",44,"1,239",326,282,"1,803",156,62,287,47,818,"2,627",353,30,620,668,39,691
2014,All Donor Types,< 1 Year,268,6,5,6,49,4,1,1,21,25,6,0,6,4,6,0,1,0,0,6,6,2,2,0,5,16,0,0,1,0,9,15,0,4,0,0,16,0,0,1,0,1,21,8,0,6,6,0,2
2014,All Donor Types,1-5 Years,611,7,19,3,97,9,2,4,15,53,17,0,21,2,6,5,3,9,0,6,8,13,9,3,22,26,0,0,2,0,40,23,0,16,3,4,29,0,0,11,0,9,66,9,0,14,17,0,9
2014,All Donor Types,6-10 Years,358,7,4,1,43,1,0,1,4,21,16,0,15,5,2,2,6,7,0,6,14,12,5,0,7,1,0,0,3,0,19,14,0,11,0,5,28,1,1,1,1,15,38,8,2,5,15,0,11
2014,All Donor Types,11-17 Years,"1,583",29,30,12,183,30,8,7,18,92,35,3,60,38,14,17,19,25,2,19,41,28,55,8,77,17,6,0,7,6,44,43,0,71,20,19,91,0,2,17,4,48,196,18,0,34,48,5,37
2014,All Donor Types,18-34 Years,"10,458",156,241,57,"1,204",137,69,13,115,589,280,28,426,273,66,73,111,230,12,267,251,286,248,67,277,124,19,14,179,29,566,364,13,440,137,95,633,70,8,106,14,301,"1,057",120,10,223,256,9,195
2014,All Donor Types,35-49 Years,"8,731",116,252,33,976,140,85,8,67,548,254,24,285,166,76,66,97,166,16,229,216,290,211,21,171,71,22,18,151,22,578,286,6,414,107,96,531,41,23,90,12,248,781,119,3,186,182,9,222
2014,All Donor Types,50-64 Years,"6,522",70,131,9,782,93,62,8,86,392,174,19,253,116,79,67,53,115,19,226,232,223,181,29,128,56,11,10,102,26,489,222,19,254,57,55,404,36,25,54,16,169,424,59,11,131,136,13,196
2014,All Donor Types,65 +,"1,008",10,29,2,120,7,11,1,23,83,36,1,28,5,8,8,8,22,6,46,32,19,35,0,30,15,3,1,25,4,81,38,6,29,2,8,70,8,3,7,0,27,44,12,4,21,8,3,19
2014,All Donor Types,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,Deceased Donor,All Donor Ages,"23,721",306,577,113,"2,826",306,167,37,285,"1,578",641,65,824,521,215,216,262,505,28,616,601,666,488,119,624,291,56,24,303,71,"1,280",853,27,944,288,222,"1,479",145,46,260,36,725,"2,166",277,24,470,558,35,555
2014,Deceased Donor,< 1 Year,268,6,5,6,49,4,1,1,21,25,6,0,6,4,6,0,1,0,0,6,6,2,2,0,5,16,0,0,1,0,9,15,0,4,0,0,16,0,0,1,0,1,21,8,0,6,6,0,2
2014,Deceased Donor,1-5 Years,611,7,19,3,97,9,2,4,15,53,17,0,21,2,6,5,3,9,0,6,8,13,9,3,22,26,0,0,2,0,40,23,0,16,3,4,29,0,0,11,0,9,66,9,0,14,17,0,9
2014,Deceased Donor,6-10 Years,358,7,4,1,43,1,0,1,4,21,16,0,15,5,2,2,6,7,0,6,14,12,5,0,7,1,0,0,3,0,19,14,0,11,0,5,28,1,1,1,1,15,38,8,2,5,15,0,11
2014,Deceased Donor,11-17 Years,"1,581",29,30,12,183,30,8,7,17,92,35,3,60,38,14,17,19,25,2,19,41,28,55,8,77,17,6,0,7,6,44,43,0,71,20,19,90,0,2,17,4,48,196,18,0,34,48,5,37
2014,Deceased Donor,18-34 Years,"8,696",131,201,53,"1,004",108,51,11,88,520,227,26,319,245,52,68,104,205,9,209,194,235,171,63,250,119,19,9,133,25,396,320,13,362,128,82,528,65,6,98,8,267,894,96,8,183,229,7,157
2014,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Deceased Donor,35-49 Years,"6,364",73,191,30,729,93,57,5,51,456,186,20,176,129,61,58,78,141,7,164,141,204,107,19,138,53,19,8,74,17,365,219,2,290,89,70,397,35,17,78,9,208,583,79,1,122,136,8,171
